<nobility , {input\big2.txt : 1}>
<nobody , {input\big2.txt : 1}>
<none , {input\big2.txt : 1}>
<nor , {input\big2.txt : 1}>
<not , {input\big2.txt : 37}>
<nothing , {input\big2.txt : 6}>
<now , {input\big2.txt : 16}>
<nurse , {input\big2.txt : 5}>
<nurses , {input\big2.txt : 1}>
<ny , {input\big2.txt : 1}>
<obey , {input\big2.txt : 1}>
<occupy , {input\big2.txt : 1}>
<of , {input\big2.txt : 70}>
<off , {input\big2.txt : 3}>
<offer , {input\big2.txt : 3}>
<offering , {input\big2.txt : 1}>
<officer , {input\big2.txt : 1}>
<officers , {input\big2.txt : 2}>
<oh , {input\big2.txt : 1}>
<old , {input\big2.txt : 8}>
<om , {input\big2.txt : 1}>
<on , {input\big2.txt : 21}>
<once , {input\big2.txt : 2}>
<one , {input\big2.txt : 13}>
<only , {input\big2.txt : 10}>
<open , {input\big2.txt : 2}>
<oppress , {input\big2.txt : 1}>
<or , {input\big2.txt : 11}>
<order , {input\big2.txt : 9}>
<ordered , {input\big2.txt : 3}>
<orderly , {input\big2.txt : 2}>
<orders , {input\big2.txt : 2}>
<other , {input\big2.txt : 1}>
<others , {input\big2.txt : 1}>
<our , {input\big2.txt : 6}>
<ours , {input\big2.txt : 3}>
<ourselves , {input\big2.txt : 1}>
<out , {input\big2.txt : 8}>
<outside , {input\big2.txt : 1}>
<outstripping , {input\big2.txt : 1}>
<over , {input\big2.txt : 6}>
<overwhelmed , {input\big2.txt : 1}>
<owing , {input\big2.txt : 1}>
<own , {input\big2.txt : 6}>
<pa , {input\big2.txt : 2}>
<paced , {input\big2.txt : 1}>
<packed , {input\big2.txt : 1}>
<painful , {input\big2.txt : 1}>
<papers , {input\big2.txt : 1}>
<passed , {input\big2.txt : 1}>
<past , {input\big2.txt : 3}>
<pasture , {input\big2.txt : 1}>
<paused , {input\big2.txt : 2}>
<peasant , {input\big2.txt : 3}>
<peasants , {input\big2.txt : 21}>
<people , {input\big2.txt : 2}>
<perhaps , {input\big2.txt : 3}>
<picture , {input\big2.txt : 1}>
<pictures , {input\big2.txt : 2}>
<pink , {input\big2.txt : 1}>
<place , {input\big2.txt : 1}>
<please , {input\big2.txt : 2}>
<pleasure , {input\big2.txt : 1}>
<pointed , {input\big2.txt : 4}>
<police , {input\big2.txt : 1}>
<poor , {input\big2.txt : 2}>
<porch; , {input\big2.txt : 1}>
<position , {input\big2.txt : 2}>
<possession , {input\big2.txt : 1}>
<possible , {input\big2.txt : 1}>
<power , {input\big2.txt : 1}>
<pray , {input\big2.txt : 2}>
<presence , {input\big2.txt : 1}>
<present , {input\big2.txt : 2}>
<presented , {input\big2.txt : 3}>
<pretend , {input\big2.txt : 1}>
<pretty , {input\big2.txt : 2}>
<previous , {input\big2.txt : 1}>
<previously , {input\big2.txt : 1}>
<pride , {input\big2.txt : 1}>
<prince , {input\big2.txt : 8}>
<princely , {input\big2.txt : 1}>
<princess , {input\big2.txt : 40}>
<probably , {input\big2.txt : 1}>
<promise , {input\big2.txt : 2}>
<property , {input\big2.txt : 1}>
